Batting average,On-base percentage,Number of runs,Number of hits,Number of doubles,Number of triples,Number of home runs,Number of runs batted in,Number of walks,Number of strike-outs,Number of stolen bases,Number of errors,Indicator of free agency eligibility,Indicator of free agent in 1991/2,Indicator of arbitration eligibility,Indicator of arbitration in 1991/2,Salary (in thousands of dollars)
272,302,69,153,21,4,31,104,22,80,4,3,TRUE,FALSE,FALSE,FALSE,3300
269,335,58,111,17,2,18,66,39,69,0,3,TRUE,TRUE,FALSE,FALSE,2600
249,337,54,115,15,1,17,73,63,116,6,5,TRUE,FALSE,FALSE,FALSE,2500
260,292,59,128,22,7,12,50,23,64,21,21,FALSE,FALSE,TRUE,FALSE,2475
273,346,87,169,28,5,8,58,70,53,3,8,FALSE,FALSE,TRUE,FALSE,2313
291,379,104,170,32,2,26,100,87,89,22,4,TRUE,FALSE,FALSE,FALSE,2175
258,370,34,86,14,1,14,38,15,45,0,10,TRUE,FALSE,FALSE,FALSE,600
228,279,16,38,7,2,3,21,11,32,2,3,FALSE,FALSE,FALSE,FALSE,460
250,327,40,61,11,0,1,18,24,26,14,2,FALSE,FALSE,FALSE,FALSE,240
203,240,39,64,10,1,10,33,14,96,13,6,FALSE,FALSE,FALSE,FALSE,200
262,283,7,38,5,0,0,10,5,18,2,7,FALSE,FALSE,FALSE,FALSE,177
222,307,21,45,9,0,6,22,19,56,3,3,FALSE,FALSE,FALSE,FALSE,140
227,280,4,5,2,0,1,3,2,1,0,0,FALSE,FALSE,FALSE,FALSE,117
261,370,1,6,0,0,0,2,4,3,0,0,FALSE,FALSE,FALSE,FALSE,115
300,368,69,141,22,3,19,75,53,64,31,7,TRUE,FALSE,FALSE,FALSE,2600
225,292,60,130,22,1,13,73,50,100,2,14,TRUE,FALSE,FALSE,FALSE,1907
255,321,39,108,22,8,3,26,42,61,2,8,FALSE,FALSE,TRUE,FALSE,1190
290,349,59,141,30,2,16,64,42,102,14,6,TRUE,FALSE,FALSE,FALSE,990
246,323,22,81,14,0,6,26,22,26,2,5,TRUE,FALSE,FALSE,FALSE,925
208,265,12,35,11,1,0,15,14,30,2,6,FALSE,FALSE,FALSE,FALSE,365
238,347,83,134,15,4,10,51,95,151,56,27,FALSE,FALSE,FALSE,FALSE,302
267,310,73,149,23,9,6,39,34,89,76,6,FALSE,FALSE,FALSE,FALSE,300
353,435,16,48,12,2,2,18,20,22,0,5,FALSE,FALSE,FALSE,FALSE,129
213,222,4,13,4,1,1,8,1,18,0,0,FALSE,FALSE,FALSE,FALSE,111
302,391,102,174,44,6,18,100,90,67,2,15,TRUE,TRUE,FALSE,FALSE,6100
260,321,69,150,23,1,19,96,55,74,10,7,TRUE,TRUE,FALSE,FALSE,4125
255,347,45,71,7,5,1,17,39,47,37,3,TRUE,FALSE,FALSE,FALSE,3213
259,349,108,146,34,4,38,117,78,120,30,31,TRUE,FALSE,FALSE,FALSE,2319
223,307,43,84,10,4,10,40,36,56,7,4,TRUE,FALSE,FALSE,FALSE,2000
225,310,44,96,9,3,0,31,50,69,8,15,TRUE,TRUE,FALSE,FALSE,1600
258,381,58,108,23,0,4,51,83,50,1,5,TRUE,FALSE,FALSE,FALSE,1394
275,351,40,70,16,4,4,21,30,42,15,3,TRUE,TRUE,FALSE,FALSE,935
327,424,60,141,14,3,0,54,75,38,4,20,TRUE,TRUE,FALSE,FALSE,850
272,300,18,62,14,2,5,35,9,19,0,3,FALSE,FALSE,TRUE,FALSE,775
241,320,33,84,16,2,6,36,40,53,2,14,FALSE,FALSE,TRUE,TRUE,760
293,355,32,79,17,0,1,30,24,43,2,0,FALSE,FALSE,FALSE,FALSE,629
257,315,51,96,10,1,6,34,33,57,13,8,FALSE,FALSE,FALSE,FALSE,275
225,330,7,20,2,0,0,5,14,19,1,2,FALSE,FALSE,FALSE,FALSE,120
196,297,36,56,12,0,12,42,41,66,5,8,FALSE,FALSE,TRUE,FALSE,2567
252,309,66,137,33,1,28,81,48,93,1,5,TRUE,FALSE,FALSE,FALSE,2500
294,367,84,158,27,6,21,92,67,100,7,3,TRUE,FALSE,FALSE,FALSE,2350
297,391,48,73,13,5,3,12,37,20,24,4,TRUE,FALSE,FALSE,FALSE,2317
258,288,46,86,7,4,12,40,12,57,5,9,TRUE,TRUE,FALSE,FALSE,2000
205,268,21,36,5,3,1,11,16,36,7,3,TRUE,FALSE,FALSE,FALSE,715
272,304,38,82,21,3,9,49,14,49,0,9,FALSE,FALSE,TRUE,FALSE,660
243,344,20,45,12,0,0,15,30,30,3,4,TRUE,FALSE,FALSE,FALSE,650
337,413,13,32,5,0,0,12,13,14,0,0,FALSE,FALSE,FALSE,FALSE,260
228,238,12,36,4,1,1,11,2,26,0,2,FALSE,FALSE,FALSE,FALSE,250
240,300,51,92,16,3,13,50,31,73,9,3,FALSE,FALSE,FALSE,FALSE,200
298,378,18,45,10,2,6,21,17,26,1,8,FALSE,FALSE,FALSE,FALSE,180
249,313,38,81,11,4,1,20,29,45,13,6,FALSE,FALSE,FALSE,FALSE,180
292,410,95,149,28,5,25,116,107,73,43,3,FALSE,FALSE,TRUE,FALSE,5150
265,355,87,130,24,7,17,83,71,85,10,1,TRUE,FALSE,FALSE,FALSE,4450
265,306,53,133,16,6,3,54,30,56,7,9,FALSE,FALSE,TRUE,TRUE,2000
289,351,25,97,11,2,3,41,33,27,2,1,TRUE,TRUE,FALSE,FALSE,1850
295,363,19,65,17,1,1,29,21,32,1,5,TRUE,FALSE,FALSE,FALSE,1192
270,330,96,164,32,8,16,67,52,99,10,24,FALSE,FALSE,TRUE,TRUE,875
246,324,45,62,12,2,7,24,28,39,17,6,TRUE,FALSE,FALSE,FALSE,825
288,366,24,47,7,0,7,24,18,23,2,3,FALSE,FALSE,FALSE,FALSE,525
273,344,23,51,11,2,4,23,19,34,9,1,FALSE,FALSE,FALSE,FALSE,367
239,328,16,26,1,1,4,18,14,15,3,2,FALSE,FALSE,FALSE,FALSE,325
244,281,7,20,4,0,1,11,5,17,4,2,FALSE,FALSE,FALSE,FALSE,320
275,373,83,113,17,2,10,50,64,81,8,12,FALSE,FALSE,FALSE,FALSE,150
340,381,15,36,7,0,0,7,7,17,3,6,FALSE,FALSE,FALSE,FALSE,113
250,280,2,6,0,2,0,1,1,8,0,1,FALSE,FALSE,FALSE,FALSE,113
272,326,41,116,12,1,8,70,37,46,4,16,TRUE,TRUE,FALSE,FALSE,2425
219,268,34,82,13,2,9,33,23,86,5,9,TRUE,FALSE,FALSE,FALSE,2367
240,357,37,88,11,4,1,26,67,48,1,9,TRUE,FALSE,FALSE,FALSE,2050
285,380,96,157,30,3,3,50,83,36,35,8,TRUE,FALSE,FALSE,FALSE,2000
307,368,55,100,16,5,6,34,32,53,16,2,TRUE,FALSE,FALSE,FALSE,1617
240,300,29,58,8,4,6,36,22,34,15,5,TRUE,FALSE,FALSE,FALSE,1167
264,319,38,121,24,5,2,57,36,63,9,7,FALSE,FALSE,TRUE,FALSE,992
227,260,21,47,10,2,1,15,10,29,12,2,FALSE,FALSE,FALSE,FALSE,400
305,360,69,173,40,6,8,77,50,113,20,3,FALSE,FALSE,FALSE,FALSE,315
280,353,76,158,36,3,11,81,62,94,17,25,FALSE,FALSE,FALSE,FALSE,315
251,301,83,142,23,15,9,69,41,114,44,6,FALSE,FALSE,FALSE,FALSE,230
216,316,28,58,7,2,5,28,39,33,14,1,FALSE,FALSE,FALSE,FALSE,135
243,322,38,45,8,3,5,17,18,45,15,6,FALSE,FALSE,FALSE,FALSE,130
319,363,94,187,34,8,22,86,43,70,10,24,TRUE,FALSE,FALSE,FALSE,3150
297,371,81,119,10,1,0,26,47,40,72,3,TRUE,TRUE,FALSE,FALSE,2785
251,338,101,141,35,3,32,105,71,104,34,6,FALSE,FALSE,TRUE,FALSE,2700
253,313,32,67,12,0,11,45,25,31,0,3,TRUE,FALSE,FALSE,FALSE,2400
275,377,58,97,19,1,7,44,50,64,9,5,TRUE,FALSE,FALSE,FALSE,1750
320,368,41,98,17,2,3,32,23,19,2,15,FALSE,FALSE,TRUE,FALSE,1262
259,358,49,91,14,3,11,54,54,59,5,17,FALSE,FALSE,TRUE,FALSE,940
275,377,67,109,25,1,21,87,65,81,8,7,FALSE,FALSE,FALSE,FALSE,555
249,296,36,88,9,2,0,27,22,63,3,18,FALSE,FALSE,TRUE,FALSE,500
188,243,13,30,7,0,5,14,11,42,1,8,FALSE,FALSE,TRUE,FALSE,370
241,316,46,99,25,0,6,44,44,48,1,4,FALSE,FALSE,FALSE,FALSE,350
242,284,7,23,6,0,4,23,6,20,1,3,FALSE,FALSE,FALSE,FALSE,148
251,296,32,68,16,1,12,50,17,48,0,8,FALSE,FALSE,FALSE,FALSE,146
302,378,88,140,27,4,20,69,55,64,24,15,TRUE,FALSE,FALSE,FALSE,4350
280,359,51,101,12,2,6,35,46,39,5,7,TRUE,FALSE,FALSE,FALSE,2833
256,346,71,136,36,0,28,91,73,107,12,2,FALSE,FALSE,TRUE,FALSE,2833
301,354,91,175,35,3,26,88,44,79,19,12,FALSE,FALSE,TRUE,FALSE,2750
281,342,66,119,13,3,3,32,37,71,26,10,FALSE,FALSE,TRUE,FALSE,1550
234,301,13,36,5,0,6,19,16,39,0,6,FALSE,FALSE,TRUE,FALSE,1300
260,323,36,65,10,0,11,39,23,46,11,5,FALSE,FALSE,TRUE,TRUE,1000
267,321,20,72,15,2,3,31,23,38,0,5,FALSE,FALSE,FALSE,FALSE,750
318,374,72,152,33,1,14,59,46,61,10,9,FALSE,FALSE,FALSE,FALSE,430
216,265,21,58,11,0,11,41,18,53,0,11,FALSE,FALSE,FALSE,FALSE,260
286,303,11,18,1,0,0,3,1,15,1,2,FALSE,FALSE,FALSE,FALSE,120
253,312,65,145,30,3,13,80,46,85,4,23,FALSE,FALSE,TRUE,FALSE,1500
295,358,79,161,23,4,4,46,53,71,19,11,FALSE,FALSE,TRUE,FALSE,1458
285,331,84,170,28,10,8,54,42,65,34,5,FALSE,FALSE,TRUE,FALSE,1210
262,319,44,121,20,7,4,50,40,49,9,10,FALSE,FALSE,FALSE,FALSE,935
214,290,38,72,12,1,11,38,36,92,1,3,TRUE,TRUE,FALSE,FALSE,800
218,327,26,31,3,1,1,11,24,17,16,0,FALSE,FALSE,FALSE,FALSE,395
294,387,79,163,26,4,15,82,75,116,7,12,FALSE,FALSE,FALSE,FALSE,350
254,320,51,120,28,9,13,69,40,101,10,5,FALSE,FALSE,FALSE,FALSE,285
243,270,27,61,13,2,9,36,9,74,4,18,FALSE,FALSE,FALSE,FALSE,139
153,227,11,18,6,0,1,7,12,41,1,1,FALSE,FALSE,FALSE,FALSE,133
265,361,86,134,22,4,28,99,75,125,10,5,TRUE,FALSE,FALSE,FALSE,4050
235,353,39,67,10,0,11,33,48,92,14,3,TRUE,FALSE,FALSE,FALSE,3600
296,401,112,182,13,5,2,38,108,79,38,0,TRUE,FALSE,FALSE,FALSE,3333
264,353,39,91,16,2,8,40,47,32,4,7,TRUE,FALSE,FALSE,FALSE,2183
294,338,29,86,15,3,2,40,17,46,2,3,TRUE,FALSE,FALSE,FALSE,1150
287,349,59,123,16,1,3,38,37,32,12,20,TRUE,FALSE,FALSE,FALSE,840
278,355,24,60,11,2,2,20,25,24,1,4,FALSE,FALSE,TRUE,FALSE,587
222,296,21,38,8,5,2,19,18,52,0,2,TRUE,FALSE,FALSE,FALSE,400
248,286,24,56,5,2,2,13,12,35,2,11,TRUE,TRUE,FALSE,FALSE,350
268,293,3,15,4,0,1,5,2,12,1,0,FALSE,FALSE,FALSE,FALSE,135
214,250,1,3,1,0,0,1,0,5,1,1,FALSE,FALSE,FALSE,FALSE,135
195,345,10,22,2,0,0,3,25,32,3,10,FALSE,FALSE,FALSE,FALSE,135
278,396,84,147,19,1,31,106,105,135,4,14,TRUE,FALSE,FALSE,FALSE,4075
267,296,60,155,22,3,17,87,23,114,8,14,FALSE,FALSE,TRUE,TRUE,3300
317,355,69,158,27,11,4,62,34,19,8,3,TRUE,FALSE,FALSE,FALSE,2387
272,337,81,162,27,5,4,38,55,74,23,20,FALSE,FALSE,TRUE,FALSE,2100
265,322,44,102,17,1,6,51,33,56,3,18,TRUE,TRUE,FALSE,FALSE,1750
262,315,51,94,12,1,21,49,27,66,5,2,FALSE,FALSE,TRUE,FALSE,805
194,277,25,34,12,2,2,22,19,15,5,8,FALSE,FALSE,TRUE,FALSE,725
217,319,41,74,16,0,12,44,51,77,9,9,TRUE,TRUE,FALSE,FALSE,687
228,295,26,84,16,0,10,47,31,90,2,2,FALSE,FALSE,FALSE,FALSE,200
286,444,0,2,0,0,0,0,2,3,0,0,FALSE,FALSE,FALSE,FALSE,130
269,345,4,7,2,1,0,5,3,4,0,0,FALSE,FALSE,TRUE,TRUE,125
246,267,5,14,2,0,0,9,1,9,2,2,FALSE,FALSE,FALSE,FALSE,120
275,298,6,25,3,0,1,6,2,14,0,7,FALSE,FALSE,FALSE,FALSE,117
243,308,13,26,7,2,2,8,9,27,1,1,FALSE,FALSE,FALSE,FALSE,114
301,359,84,170,32,7,29,116,51,91,4,4,TRUE,FALSE,FALSE,FALSE,4275
312,357,67,155,30,3,4,43,34,74,17,6,TRUE,FALSE,FALSE,FALSE,3563
268,310,72,158,24,5,34,98,33,128,5,16,FALSE,FALSE,TRUE,FALSE,2000
262,352,74,129,24,5,19,48,63,95,14,11,TRUE,FALSE,FALSE,FALSE,1600
221,283,23,51,8,4,1,12,20,33,3,11,FALSE,FALSE,TRUE,FALSE,1533
175,216,14,29,4,1,3,17,9,60,0,3,TRUE,FALSE,FALSE,FALSE,940
238,273,31,104,16,2,5,41,18,61,3,0,FALSE,FALSE,TRUE,FALSE,850
264,325,51,92,10,6,0,18,30,31,21,4,FALSE,FALSE,FALSE,FALSE,650
225,271,16,40,9,0,0,19,9,22,1,4,FALSE,FALSE,FALSE,FALSE,360
123,188,12,13,3,0,2,8,7,26,3,3,FALSE,FALSE,FALSE,FALSE,150
246,358,41,55,5,3,1,15,36,30,13,0,FALSE,FALSE,FALSE,FALSE,145
240,306,14,31,7,1,2,14,12,25,0,0,FALSE,FALSE,FALSE,FALSE,140
115,148,0,3,1,0,0,2,1,6,0,3,FALSE,FALSE,FALSE,FALSE,109
120,185,0,3,0,0,0,1,2,11,0,1,FALSE,FALSE,FALSE,FALSE,109
227,307,29,40,9,1,10,28,16,29,4,8,TRUE,TRUE,FALSE,FALSE,3415
323,374,99,210,46,5,34,114,53,46,6,11,TRUE,FALSE,FALSE,FALSE,2100
278,321,57,135,22,1,5,43,28,45,6,1,TRUE,FALSE,FALSE,FALSE,1300
263,373,57,127,17,2,16,70,84,108,0,11,FALSE,FALSE,TRUE,FALSE,1200
260,313,82,158,27,10,19,59,47,115,16,3,TRUE,FALSE,FALSE,FALSE,1025
216,253,24,62,11,1,0,14,15,31,0,7,FALSE,FALSE,TRUE,FALSE,730
233,326,45,74,16,0,23,61,41,99,0,0,FALSE,FALSE,FALSE,FALSE,687
204,255,29,42,9,0,7,18,13,49,0,4,FALSE,FALSE,FALSE,FALSE,380
230,336,40,59,12,3,2,27,36,44,12,3,FALSE,FALSE,FALSE,FALSE,365
243,304,36,83,15,0,11,31,29,61,0,1,FALSE,FALSE,FALSE,FALSE,175
233,302,40,91,17,2,16,45,40,82,1,7,FALSE,FALSE,FALSE,FALSE,150
278,316,15,59,7,0,2,22,12,19,1,3,FALSE,FALSE,FALSE,FALSE,150
269,303,32,58,12,1,13,33,11,51,1,2,FALSE,FALSE,FALSE,FALSE,140
