*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 600
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 925
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 715
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 650
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 2367
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 2050
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 1167
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 800
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 3600
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 400
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 350
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 940
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 3415
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 550
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 300
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 375
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 355
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 109
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 284
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 900
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 775
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 600
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 900
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 400
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 1150
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 1100
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 525
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 500
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 2167
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 675
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, true, *, *, *, 935
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, true, *, *, *, 1192
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, true, *, *, *, 300
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, true, *, *, *, 1200
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 460
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 240
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 200
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 177
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 140
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 117
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 115
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 365
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 129
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 111
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 775
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 120
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 260
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 250
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 180
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 180
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 525
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 367
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 325
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 320
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 113
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 113
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 400
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 135
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 130
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 500
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 370
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 148
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1300
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1000
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 750
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 120
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 395
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 139
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 133
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 587
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 135
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 135
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 135
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 725
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 130
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 125
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 120
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 117
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 114
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1533
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 360
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 150
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 145
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 140
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 109
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 109
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 730
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 380
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 365
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 175
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 150
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 140
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 350
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 155
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 145
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 950
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 700
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 525
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 325
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 200
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 158
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 145
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 150
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 120
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 109
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 360
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 147
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 109
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 117
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 640
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 190
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 170
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 135
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 130
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 130
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 650
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 235
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 225
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 120
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 425
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 287
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 170
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 153
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 950
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 450
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 175
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 155
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 760
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 205
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 185
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 115
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 875
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 162
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 133
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 215
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 183
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 170
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 160
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 142
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 109
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1190
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 760
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 629
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1262
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1000
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1000
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 200
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 575
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 140
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1850
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2425
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2400
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1150
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2167
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1375
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 109
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2183
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 687
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 550
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2567
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 260
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 660
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 992
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 146
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 200
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 850
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 150
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 280
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 740
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 3213
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 1600
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 2317
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 825
